year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year,d_key,s_key,is_reporting_unit,lat,lon,anchor_city,anchor_city_pop,geo_match_type,census_2011_population
2010,jammu kashmir,railwaysjmu,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027,0.0,0.5135135135135135,0.0,0.1486486486486486,0.0,0.4459459459459459,0.0,0.5135135135135135,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.2148648648648648,low,,,railwaysjmu,jammu and kashmir,True,,,,,,
2010,chhattisgarh,dantewada,19.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.5161290322580645,0.0,0.1612903225806451,2.995732273553991,0.4516129032258064,0.0,0.5161290322580645,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.2209677419354838,low,,,dantewada,chhattisgarh,False,,,,,,
2012,kerala,ernakulam,0.0,0.0,30516.0,0.0,0.0,10.326039184367792,0.3703703703703703,0.0,0.5185185185185185,0.0,0.1296296296296296,0.0,0.1296296296296296,0.0,0.5185185185185185,30516.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3351851851851852,low,,,ernakulam,kerala,False,9.9312328,76.2673041,Kochi,612343.0,exact,3282388.0
2012,a n islands,andaman,0.0,0.0,7377.0,0.0,0.0,8.906257878156621,0.8571428571428571,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.5714285714285714,7377.0,0.0,1.0,47.0,-1.0,1.0,31.0,-1.0,1.0,0.0,0.0,1.0,0.6142857142857143,medium,,,andaman,andaman and nicobar islands,False,,,,,,
2012,kerala,cbcid,0.0,0.0,1339.0,0.0,0.0,7.200424892944957,0.037037037037037,0.0,0.5185185185185185,0.0,0.1296296296296296,0.0,0.1296296296296296,0.0,0.5185185185185185,1339.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1851851851851851,low,,,cbcid,kerala,True,,,,,,
2012,a n islands,a and n islands,0.0,0.0,807.0,0.0,0.0,6.694562058521095,0.7142857142857143,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.5714285714285714,807.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.55,medium,,,a and n islands,andaman and nicobar islands,False,,,,,,
2012,kerala,kollam,0.0,0.0,97571.0,0.0,0.0,11.488345845995838,0.7777777777777778,0.0,0.5185185185185185,0.0,0.1296296296296296,0.0,0.1296296296296296,0.0,0.5185185185185185,97571.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5185185185185185,medium,,,kollam,kerala,False,8.8932118,76.6141396,Kollam,349033.0,exact,2635375.0
2012,punjab,nawan shahr,0.0,0.0,5181.0,0.0,0.0,8.552946361122055,0.25,0.0,0.5138888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5138888888888888,5181.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2743055555555555,low,,,nawan shahr,punjab,False,,,,,,
2012,uttar pradesh,csm nagar,88.0,0.0,4011.0,0.0,238.0,8.297045149081827,0.0512820512820512,0.0,0.5064102564102564,5.476463551931511,0.5384615384615384,4.48863636973214,0.6474358974358975,0.0,0.5064102564102564,4011.0,0.0,1.0,226.0,0.0530973451327433,1.0,23.0,2.8260869565217392,1.0,0.0,0.0,1.0,0.3221153846153846,low,,,csm nagar,uttar pradesh,False,,,,,,
2012,kerala,kozhikode,0.0,0.0,17140.0,0.0,0.0,9.749228533507058,0.2222222222222222,0.0,0.5185185185185185,0.0,0.1296296296296296,0.0,0.1296296296296296,0.0,0.5185185185185185,17140.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2685185185185185,low,,,kozhikode,kerala,False,11.2587531,75.78041,Calicut,432097.0,exact,3086293.0
2012,tamil nadu,chennaisuburban,0.0,0.0,19404.0,0.0,0.0,9.873286043803006,0.1627906976744186,0.0,0.5116279069767442,0.0,0.0465116279069767,0.0,0.0813953488372093,0.0,0.5116279069767442,19404.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2186046511627907,low,,,chennaisuburban,tamil nadu,False,,,,,,
2012,delhi ut,g r p,0.0,0.0,6641.0,0.0,0.0,8.801168401936692,0.4545454545454545,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,6641.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4920454545454544,medium,,,g r p,delhi,False,,,,,,
2012,delhi ut,s t f,0.0,0.0,158.0,0.0,0.0,5.068904202220232,0.0909090909090909,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,158.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3284090909090909,low,,,s t f,delhi,False,,,,,,
2012,maharashtra,mumbai,0.0,0.0,141815.0,0.0,0.0,11.86228572169362,0.9574468085106383,0.0,0.5106382978723404,0.0,0.0212765957446808,0.0,0.0212765957446808,0.0,0.5106382978723404,141815.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5648936170212765,medium,,,mumbai,maharashtra,False,19.0759837,72.8776559,Mumbai,12461724.0,exact,3085411.0
2012,delhi ut,i g i airport,0.0,0.0,2700.0,0.0,0.0,7.901377353792616,0.3181818181818182,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,2700.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4306818181818181,medium,,,i g i airport,delhi,False,,,,,,
2012,punjab,amritsar,0.0,0.0,15878.0,0.0,0.0,9.672752760526098,0.8055555555555556,0.0,0.5138888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5138888888888888,15878.0,0.0,1.0,111.0,-1.0,1.0,6.0,-1.0,1.0,0.0,0.0,1.0,0.5243055555555556,medium,,,amritsar,punjab,False,31.6339793,74.8722642,Amritsar,1132761.0,exact,2490656.0
2012,uttar pradesh,bhim nagar,45.0,0.0,3651.0,0.0,235.0,8.20303024171486,0.0256410256410256,0.0,0.5064102564102564,5.4638318050256105,0.5128205128205128,3.828641396489095,0.3525641025641026,0.0,0.5064102564102564,3651.0,0.0,1.0,272.0,-0.1360294117647058,1.0,70.0,-0.3571428571428571,1.0,0.0,0.0,1.0,0.2759615384615385,low,,,bhim nagar,uttar pradesh,False,,,,,,
2012,tamil nadu,chengai,0.0,0.0,43561.0,0.0,0.0,10.681940489675172,0.4651162790697674,0.0,0.5116279069767442,0.0,0.0465116279069767,0.0,0.0813953488372093,0.0,0.5116279069767442,43561.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3546511627906977,low,,,chengai,tamil nadu,False,,,,,,
2012,delhi,stf,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.5263157894736842,0.0,0.1052631578947368,0.0,0.1842105263157894,0.0,0.5263157894736842,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4078947368421052,medium,,,stf,delhi,False,,,,,,
2012,andhra pradesh,vijayawada,0.0,0.0,39350.0,0.0,0.0,10.580276666483256,0.2857142857142857,0.0,0.5142857142857142,0.0,0.0285714285714285,0.0,0.0428571428571428,0.0,0.5142857142857142,39350.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2671428571428571,low,,,vijayawada,andhra pradesh,False,,,,,,
2012,delhi,total,4462.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.5263157894736842,0.0,0.1052631578947368,8.40357646462927,1.0,0.0,0.5263157894736842,0.0,0.0,1.0,0.0,0.0,1.0,4250.0,0.0498823529411764,1.0,0.0,0.0,1.0,0.4894736842105262,medium,,,total,delhi,True,,,,,,
2012,kerala,thrissur,0.0,0.0,101593.0,0.0,0.0,11.528739757264589,0.8888888888888888,0.0,0.5185185185185185,0.0,0.1296296296296296,0.0,0.1296296296296296,0.0,0.5185185185185185,101593.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5685185185185184,medium,,,thrissur,kerala,False,10.5276416,76.2144349,Thrissur,325474.0,exact,3121200.0
2012,delhi ut,delhi ut total,0.0,0.0,633174.0,0.0,0.0,13.35850212421335,1.0,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,0.0,0.5227272727272727,633174.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7374999999999999,high,,,delhi ut total,delhi,True,,,,,,
