year,state_norm,district_norm,metric,value,state,district
2010,a n islands,a and n islands,ipc,807.0,A & N ISLANDS,A and N ISLANDS
2010,a n islands,andaman,children,51.0,A & N ISLANDS,ANDAMAN
2010,a n islands,andaman,ipc,7377.0,A & N ISLANDS,ANDAMAN
2010,a n islands,andaman,women,81.0,A & N ISLANDS,ANDAMAN
2010,a n islands,car,ipc,24.0,A & N ISLANDS,CAR
2010,a n islands,nicobar,children,0.0,A & N ISLANDS,NICOBAR
2010,a n islands,nicobar,ipc,235.0,A & N ISLANDS,NICOBAR
2010,a n islands,nicobar,women,1.0,A & N ISLANDS,NICOBAR
2010,a n islands,north,ipc,115.0,A & N ISLANDS,NORTH
2010,a n islands,south,ipc,544.0,A & N ISLANDS,SOUTH
2010,a n islands,total,children,51.0,A & N ISLANDS,TOTAL
2010,a n islands,total,ipc,9102.0,A & N ISLANDS,TOTAL
2010,a n islands,total,women,82.0,A & N ISLANDS,TOTAL
2010,andhra pradesh,adilabad,children,13.0,ANDHRA PRADESH,ADILABAD
2010,andhra pradesh,adilabad,ipc,61959.0,ANDHRA PRADESH,ADILABAD
2010,andhra pradesh,adilabad,women,831.0,ANDHRA PRADESH,ADILABAD
2010,andhra pradesh,anantapur,children,6.0,ANDHRA PRADESH,ANANTAPUR
2010,andhra pradesh,anantapur,ipc,59927.0,ANDHRA PRADESH,ANANTAPUR
2010,andhra pradesh,anantapur,women,517.0,ANDHRA PRADESH,ANANTAPUR
2010,andhra pradesh,chittoor,children,5.0,ANDHRA PRADESH,CHITTOOR
2010,andhra pradesh,chittoor,ipc,75471.0,ANDHRA PRADESH,CHITTOOR
2010,andhra pradesh,chittoor,women,777.0,ANDHRA PRADESH,CHITTOOR
2010,andhra pradesh,cuddapah,children,69.0,ANDHRA PRADESH,CUDDAPAH
2010,andhra pradesh,cuddapah,ipc,58147.0,ANDHRA PRADESH,CUDDAPAH
2010,andhra pradesh,cuddapah,women,608.0,ANDHRA PRADESH,CUDDAPAH
2010,andhra pradesh,cyberabad,children,39.0,ANDHRA PRADESH,CYBERABAD
2010,andhra pradesh,cyberabad,ipc,141743.0,ANDHRA PRADESH,CYBERABAD
2010,andhra pradesh,cyberabad,women,2815.0,ANDHRA PRADESH,CYBERABAD
2010,andhra pradesh,east godavari,children,16.0,ANDHRA PRADESH,EAST GODAVARI
2010,andhra pradesh,east godavari,ipc,93193.0,ANDHRA PRADESH,EAST GODAVARI
2010,andhra pradesh,east godavari,women,743.0,ANDHRA PRADESH,EAST GODAVARI
2010,andhra pradesh,guntakal rly,children,3.0,ANDHRA PRADESH,GUNTAKAL RLY.
2010,andhra pradesh,guntakal rly,ipc,3232.0,ANDHRA PRADESH,GUNTAKAL RLY.
2010,andhra pradesh,guntakal rly,women,6.0,ANDHRA PRADESH,GUNTAKAL RLY.
2010,andhra pradesh,guntur,children,41.0,ANDHRA PRADESH,GUNTUR
2010,andhra pradesh,guntur,ipc,97091.0,ANDHRA PRADESH,GUNTUR
2010,andhra pradesh,guntur,women,1244.0,ANDHRA PRADESH,GUNTUR
2010,andhra pradesh,guntur urban,children,24.0,ANDHRA PRADESH,GUNTUR URBAN
2010,andhra pradesh,guntur urban,ipc,11828.0,ANDHRA PRADESH,GUNTUR URBAN
2010,andhra pradesh,guntur urban,women,377.0,ANDHRA PRADESH,GUNTUR URBAN
2010,andhra pradesh,hyderabad city,children,86.0,ANDHRA PRADESH,HYDERABAD CITY
2010,andhra pradesh,hyderabad city,ipc,202931.0,ANDHRA PRADESH,HYDERABAD CITY
2010,andhra pradesh,hyderabad city,women,1781.0,ANDHRA PRADESH,HYDERABAD CITY
2010,andhra pradesh,karimnagar,children,267.0,ANDHRA PRADESH,KARIMNAGAR
2010,andhra pradesh,karimnagar,ipc,96728.0,ANDHRA PRADESH,KARIMNAGAR
2010,andhra pradesh,karimnagar,women,1346.0,ANDHRA PRADESH,KARIMNAGAR
2010,andhra pradesh,khammam,children,85.0,ANDHRA PRADESH,KHAMMAM
2010,andhra pradesh,khammam,ipc,68903.0,ANDHRA PRADESH,KHAMMAM
2010,andhra pradesh,khammam,women,775.0,ANDHRA PRADESH,KHAMMAM
2010,andhra pradesh,krishna,children,102.0,ANDHRA PRADESH,KRISHNA
2010,andhra pradesh,krishna,ipc,67845.0,ANDHRA PRADESH,KRISHNA
2010,andhra pradesh,krishna,women,1004.0,ANDHRA PRADESH,KRISHNA
2010,andhra pradesh,kurnool,children,84.0,ANDHRA PRADESH,KURNOOL
2010,andhra pradesh,kurnool,ipc,73883.0,ANDHRA PRADESH,KURNOOL
2010,andhra pradesh,kurnool,women,1251.0,ANDHRA PRADESH,KURNOOL
2010,andhra pradesh,mahaboobnagar,children,134.0,ANDHRA PRADESH,MAHABOOBNAGAR
2010,andhra pradesh,mahaboobnagar,ipc,71938.0,ANDHRA PRADESH,MAHABOOBNAGAR
2010,andhra pradesh,mahaboobnagar,women,686.0,ANDHRA PRADESH,MAHABOOBNAGAR
2010,andhra pradesh,medak,children,64.0,ANDHRA PRADESH,MEDAK
2010,andhra pradesh,medak,ipc,61927.0,ANDHRA PRADESH,MEDAK
2010,andhra pradesh,medak,women,660.0,ANDHRA PRADESH,MEDAK
2010,andhra pradesh,nalgonda,children,105.0,ANDHRA PRADESH,NALGONDA
2010,andhra pradesh,nalgonda,ipc,85368.0,ANDHRA PRADESH,NALGONDA
2010,andhra pradesh,nalgonda,women,786.0,ANDHRA PRADESH,NALGONDA
2010,andhra pradesh,nellore,children,179.0,ANDHRA PRADESH,NELLORE
2010,andhra pradesh,nellore,ipc,71475.0,ANDHRA PRADESH,NELLORE
2010,andhra pradesh,nellore,women,785.0,ANDHRA PRADESH,NELLORE
2010,andhra pradesh,nizamabad,children,37.0,ANDHRA PRADESH,NIZAMABAD
2010,andhra pradesh,nizamabad,ipc,61912.0,ANDHRA PRADESH,NIZAMABAD
2010,andhra pradesh,nizamabad,women,948.0,ANDHRA PRADESH,NIZAMABAD
2010,andhra pradesh,prakasham,children,45.0,ANDHRA PRADESH,PRAKASHAM
2010,andhra pradesh,prakasham,ipc,60364.0,ANDHRA PRADESH,PRAKASHAM
2010,andhra pradesh,prakasham,women,608.0,ANDHRA PRADESH,PRAKASHAM
2010,andhra pradesh,rajahmundry,children,2.0,ANDHRA PRADESH,RAJAHMUNDRY
2010,andhra pradesh,rajahmundry,ipc,6288.0,ANDHRA PRADESH,RAJAHMUNDRY
2010,andhra pradesh,rajahmundry,women,208.0,ANDHRA PRADESH,RAJAHMUNDRY
2010,andhra pradesh,ranga reddy,children,10.0,ANDHRA PRADESH,RANGA REDDY
2010,andhra pradesh,ranga reddy,ipc,41037.0,ANDHRA PRADESH,RANGA REDDY
2010,andhra pradesh,ranga reddy,women,197.0,ANDHRA PRADESH,RANGA REDDY
2010,andhra pradesh,secunderabad rly,children,0.0,ANDHRA PRADESH,SECUNDERABAD RLY.
2010,andhra pradesh,secunderabad rly,ipc,6163.0,ANDHRA PRADESH,SECUNDERABAD RLY.
2010,andhra pradesh,secunderabad rly,women,6.0,ANDHRA PRADESH,SECUNDERABAD RLY.
2010,andhra pradesh,srikakulam,children,16.0,ANDHRA PRADESH,SRIKAKULAM
2010,andhra pradesh,srikakulam,ipc,40293.0,ANDHRA PRADESH,SRIKAKULAM
2010,andhra pradesh,srikakulam,women,489.0,ANDHRA PRADESH,SRIKAKULAM
2010,andhra pradesh,tirupathi urban,children,21.0,ANDHRA PRADESH,TIRUPATHI URBAN
2010,andhra pradesh,tirupathi urban,ipc,8164.0,ANDHRA PRADESH,TIRUPATHI URBAN
2010,andhra pradesh,tirupathi urban,women,178.0,ANDHRA PRADESH,TIRUPATHI URBAN
2010,andhra pradesh,total,children,1823.0,ANDHRA PRADESH,TOTAL
2010,andhra pradesh,total,ipc,2018981.0,ANDHRA PRADESH,TOTAL
