year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year
2010,a n islands,a and n islands,0.0,0.0,807.0,0.0,0.0,6.694562058521095,0.7142857142857143,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5785714285714286,medium,0.5785714285714286,2011.0
2011,a n islands,a and n islands,0.0,0.0,807.0,0.0,0.0,6.694562058521095,0.7142857142857143,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,807.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5785714285714286,medium,0.55,2012.0
2012,a n islands,a and n islands,0.0,0.0,807.0,0.0,0.0,6.694562058521095,0.7142857142857143,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.5714285714285714,807.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.55,medium,,
2010,a n islands,andaman,51.0,0.0,7377.0,0.0,81.0,8.906257878156621,0.8571428571428571,0.0,0.5714285714285714,4.406719247264253,0.8571428571428571,3.9512437185814275,0.9285714285714286,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.7928571428571429,high,0.7928571428571429,2011.0
2011,a n islands,andaman,31.0,0.0,7377.0,0.0,47.0,8.906257878156621,0.8571428571428571,0.0,0.5714285714285714,3.871201010907891,0.8571428571428571,3.4657359027997265,0.9285714285714286,0.0,0.5714285714285714,7377.0,0.0,1.0,81.0,-0.41975308641975306,1.0,51.0,-0.39215686274509803,1.0,0.0,0.0,1.0,0.7928571428571429,high,0.6142857142857143,2012.0
2012,a n islands,andaman,0.0,0.0,7377.0,0.0,0.0,8.906257878156621,0.8571428571428571,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.5714285714285714,7377.0,0.0,1.0,47.0,-1.0,1.0,31.0,-1.0,1.0,0.0,0.0,1.0,0.6142857142857143,medium,,
2010,a n islands,car,0.0,0.0,24.0,0.0,0.0,3.2188758248682006,0.14285714285714285,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.32142857142857145,low,0.32142857142857145,2011.0
2011,a n islands,car,0.0,0.0,24.0,0.0,0.0,3.2188758248682006,0.14285714285714285,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.32142857142857145,low,0.37857142857142856,2012.0
2012,a n islands,car,2.0,0.0,24.0,0.0,2.0,3.2188758248682006,0.14285714285714285,0.0,0.5714285714285714,1.0986122886681098,0.5714285714285714,1.0986122886681098,0.5714285714285714,0.0,0.5714285714285714,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.37857142857142856,low,0.45,2013.0
2013,a n islands,car,1.0,0.0,24.0,0.0,5.0,3.2188758248682006,0.4,0.0,0.6,1.791759469228055,0.4,0.6931471805599453,0.4,0.0,0.6,24.0,0.0,1.0,2.0,1.5,1.0,2.0,-0.5,1.0,0.0,0.0,1.0,0.45,medium,,
